Institution Index,Institution,Last Name,Mid Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors,Remarks,Collector,,,,,,,
515,University of Wisconsin - Madison,Loh,,Po-Ling,2014,University of California - Berkeley,Machine learning & data mining,15,1410,6,2.5,H-index&Citations from semantic scholar,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Melkebeek,van,Dieter,1999,University of Chicago,,19,1532,3,1.2,H-index&Citations from semantic scholar; Interest left blank,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Miguel,San,Joshua,2017,University of Toronto,Computer architecture,11,472,10,2.9,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Miller,P.,Barton,1984,University of California - Berkeley,High-performance computing,55,12987,26,9.9,P.δ�ҵ�ȫ��,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Mutlu,,Bilge,2009,Carnegie Mellon University,Human-computer interaction,42,6072,29,9.6,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Nowak,D.,Robert,1995,University of Wisconsin - Madison,Machine learning & data mining,80,32924,33,11.4,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Page,Lon,David,1993,University of Illinois at Urbana-Champaign,Machine learning & data mining,22,2371,32,10,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Papailiopoulos,S.,Dimitris,2014,University of Texas at Austin,Machine learning & data mining,23,3611,14,3.7,S.δ�ҵ�ȫ��,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Patel,M.,Jignesh,1998,University of Wisconsin - Madison,Databases,62,16360,44,14.4,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Pia,Del,Alberto,2009,Università degli Studi di Padova,Algorithms & complexity,12,429,2,0.8,Ph.D. Graduate School not included in the list.,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Raskutti,,Garvesh,2012,University of California - Berkeley,Machine learning & data mining,18,2553,4,1.6,H-index&Citations from semantic scholar,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Rau,Angela,Martina,2013,Carnegie Mellon University,Machine learning & data mining,16,980,1,0.3,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Rekatsinas,,Theodoros,,,Databases,13,834,10,2.5,δ�鵽phd��Ϣ,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Reps,W.,Thomas,1982,Cornell University,"Programming languages,Logic & verification",78,23781,60,19.7,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Ron,,Amos,1987,Tel Aviv University,Computer networks,53,13131,2,0.5,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Roy,,Sushmita,2009,University of New Mexico,,25,4255,2,0.7,Interest left blank,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Sankaralingam,,Karthikeyan,2006,University of Texas at Austin,Computer architecture,39,7290,23,6.2,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Sifakis,,Eftychios,2007,Stanford University,Computer graphics,27,3480,16,3.5,,Wei Ren,,,,,,,
515,University of Wisconsin - Madison,Sinclair,D.,Matthew,2017,University of Illinois at Urbana-Champaign,Computer architecture,11,345,6,1.5,,Jiali Chen,,,,,,,
515,University of Wisconsin - Madison,Singh,,Vikas,2007,University at Buffalo,Computer vision,28,3238,57,13.3,,Xiao Han,,,,,,,
515,University of Wisconsin - Madison,Sohi,S.,Gurindar,1985,University of Illinois at Urbana-Champaign,Computer architecture,53,10565,54,23.4,H-index&Citations from semantic scholar,Xiao Han,,,,,,,
